source_frame,source_time_s,angle_000_cost,angle_015_cost,angle_030_cost,angle_045_cost,angle_060_cost,angle_075_cost,angle_090_cost,angle_105_cost,angle_120_cost,angle_135_cost,angle_150_cost,angle_165_cost,angle_180_cost,angle_195_cost,angle_210_cost,angle_225_cost,angle_240_cost,angle_255_cost,angle_270_cost,angle_285_cost,angle_300_cost,angle_315_cost,angle_330_cost,angle_345_cost
68,2.266667,0.31050819,0.25397219,0.26151390,0.26020669,0.24465436,0.25083604,0.25818656,0.23527402,0.24694642,0.23774418,0.29162212,0.27561912,0.32271111,0.36706379,0.34842174,0.22059195,0.37252645,0.37106510,0.37435565,0.38163463,0.37584685,0.22946648,0.36529984,0.38209844
69,2.300000,0.31456868,0.26027846,0.26856205,0.27056239,0.25038957,0.26419570,0.25510625,0.23896561,0.24129049,0.24966219,0.29957777,0.26390538,0.30859924,0.35953736,0.33541313,0.22852501,0.36677472,0.36484689,0.35890220,0.36730301,0.36867211,0.24087225,0.36486839,0.37802934
70,2.333333,0.32269314,0.26782406,0.27901234,0.27121507,0.25861944,0.26889109,0.25893742,0.24864226,0.25074996,0.25429659,0.30400562,0.27090594,0.31310354,0.34716211,0.34648400,0.23600153,0.37229920,0.36403922,0.35502551,0.36057434,0.35975332,0.24641502,0.36214873,0.37235876
71,2.366667,0.32204400,0.26595655,0.27549107,0.26717894,0.25715906,0.26754532,0.25587611,0.24832089,0.25390757,0.25333689,0.30291285,0.27129973,0.31765948,0.35284461,0.34497152,0.24218208,0.36456846,0.36385793,0.35372119,0.36231546,0.35958894,0.23943567,0.36277924,0.37175578
72,2.400000,0.32371166,0.26919392,0.28007401,0.27745680,0.26545868,0.27058688,0.25776652,0.25073081,0.25580184,0.25808360,0.30677667,0.27106521,0.31559349,0.35386843,0.34235197,0.24311408,0.37064765,0.36277128,0.35296707,0.36182813,0.35696675,0.24117924,0.36744855,0.37760280
73,2.433333,0.31950753,0.26606339,0.26475244,0.27486112,0.26064898,0.26839615,0.24768037,0.25419296,0.24291053,0.25702776,0.30064317,0.26404007,0.30490287,0.34584013,0.33881301,0.23814890,0.35849557,0.36206149,0.35817459,0.36497981,0.36169635,0.24755446,0.35363521,0.36667970
74,2.466667,0.32244869,0.26414930,0.26874313,0.27409306,0.26117479,0.27371552,0.24332296,0.25506550,0.24267963,0.25570363,0.29857382,0.25906356,0.30068575,0.34247471,0.33653435,0.23818581,0.36335127,0.35865630,0.36080696,0.36357745,0.36260667,0.24681787,0.35044722,0.37040398
75,2.500000,0.33022370,0.27777043,0.27202110,0.28572355,0.27638237,0.28137957,0.25601415,0.26859773,0.25951554,0.27161545,0.30527702,0.27349724,0.31635594,0.33514811,0.33499941,0.25498107,0.35863867,0.36188628,0.35559688,0.35466770,0.34894336,0.25693780,0.35225058,0.35850735
76,2.533333,0.33039238,0.27831600,0.28327995,0.28476374,0.27432912,0.27796170,0.25471296,0.26319197,0.25487619,0.26956557,0.30548300,0.27819787,0.30423118,0.34567496,0.32150090,0.25401077,0.35023311,0.34905605,0.34973124,0.35890156,0.34974888,0.25819527,0.34494447,0.35740287
77,2.566667,0.34293835,0.28219606,0.29301948,0.29659057,0.28122661,0.28781927,0.26856373,0.27204137,0.26425181,0.27614440,0.31794976,0.28028922,0.30141467,0.32876019,0.32035835,0.25984618,0.34379772,0.34941178,0.34447772,0.34381136,0.33380891,0.26414171,0.33966315,0.34541094
